komentar,platform,clean,sentimen
nah ini ni👍,youtube,ni,netral
Ya gimana dong kan harus balik modal kwwkwkwkwk,youtube,ya gimana modal kwwkwkwkwk,netral
" @azhamrt930  justru itu, enjoy the movie, spread the hype. Urusan balik modal sih harusnya udah aman. Secara kemungkinan 50% penonton PS1 akan penasaran nonton sekuelnya. Jadi semisal 2 juta yang nonton pun, udah nutup kasarannya. Hahaha ini analisa sotoy sih. 😆

Tapi Joko Anwar sendiri di wawancara kemarin gak mau berspekulasi berapa penonton, jadi yaaa…nikmatin aja. Semoga menghibur kita semua. ☺️",youtube,azhamrt enjoy the movie spread the hype urus modal sih udah aman tonton ps penasaran nonton sekuelnya juta nonton udah nutup kasar hahaha analisa sotoy sih joko anwar wawancara kemarin gak spekulasi tonton yaaanikmatin aja moga hibur,netral
Yg penting kualitass,youtube,yg kualitass,netral
" @vemdisetia395  selera org beda², siapa tau diluar sana ada menilai pengabdi setan ""enggak bgt"", so.. jgn saling menilai buruk karya org, film dibuat pasti udh dgn banyak pertimbangan, semua ada pasarnya masing²",youtube,vemdisetia selera org beda tau luar nilai abdi setan bgt so jgn nilai buruk karya org film udh dgn timbang pasar,negatif
"Thisss 🤘✨ nonton ma nonton aja jangan banding bandingin sama yang lain, enjoy masing masing film horor punya valuenya masing masing 🤘",youtube,thisss nonton ma nonton aja banding bandingin enjoy film horor valuenya,netral
"Yoi, angka bukan jadi patokan utama. Yang paling penting bisa bikin masyarakat melekat dan selalu rindu pengen nonton kembali, seperti pengabdi setan ini",youtube,yoi angka patok utama bikin masyarakat lekat rindu ken nonton abdi setan,netral
Udah nonton dan PECAAAHHH! Seru bisa ketawa dan teriak bareng. Hahahahaha…,youtube,udah nonton pecaaahhh seru ketawa teriak bareng hahahahaha,netral
"Rata2 komen die hard fan y pengabdi setan
Kok bisa sih film yg onoh 
Yg esek2 dgn ular bisa di tonton 9.2 juta orang.. 
Mungkin tu udah rezeki y MD picture dan awi Suryadi.. 
In my own opinion
Joko anwar adalah salah satu sutradara terbaik Indonesia 
In terms of :
Cinematography 
Colour grading
Camera works
Art & setting
Moga film y bisa sukses besar
Tp jujur sangat berat tuk lampaui rekor kkn desa penari (9.2 juta)",youtube,komen die hard fan y abdi setan sih film yg onoh yg esek dgn ular tonton juta orang tu udah rezeki y md picture awi suryadi in my own opinion joko anwar salah sutradara baik indonesia in terms of cinematography colour grading camera works art setting moga film y sukses tp jujur berat tuk lampau rekor kkn desa tari juta,netral
nah gitu,youtube,gitu,netral
Topppp,youtube,topppp,netral
rupanya sekarang banyak yg lebih fokus ngehitung banyaknya penonton dr pada fokus nonton filmnya 🤣,youtube,yg fokus ngehitung banyak tonton dr fokus nonton film,netral
"yang digadang gadang film terlaris, bukan berarti film terbaik. Kalau mau dikomparasi sama yg ini, mon maaf kualitas nya waaaaaayyyy better yg ini ✨",youtube,gadang gadang film laris film baik komparasi yg mon maaf kualitas nya waaaaaayyyy better yg,netral
Film horror berkualitas tanpa viral viral an,youtube,film horror kualitas viral viral an,netral
"Yang penting kualitas filmnya dan alur cerita yang bagus ,udah sii semoga dapet penghargaan lagi di pengabdi setan comunion ini 🔥",youtube,kualitas film alur cerita bagus udah sii moga dapet harga abdi setan comunion,positif
"Pada ribut, emang kalo diributin elo pada bakalan dikasih duit...",youtube,ribut emang kalo diributin elo kasih duit,netral
"Karena jumlah penonton berpengaruh sama selera masyarakar kita, di mana society kita lebih suka hal-hal viral yang bahkan kualitasnya enggak banget dan itu terjadi secara berangsur-angsur. Pada dasarnya nggak semua orang bisa menikmati kualitas karya yang bagus kayak Pengabdi Setan :)",youtube,tonton pengaruh selera masyarakar society suka halhal viral kualitas banget berangsurangsur dasar nggak orang nikmat kualitas karya bagus kayak abdi setan,positif
Up,youtube,up,netral
bener banget.,youtube,bener banget,netral
yg nonton banyak tp filmnyaa sendiri ..... hmmm,youtube,yg nonton tp filmnyaa hmmm,netral
setan mania 🤘,youtube,setan mania,netral
"Dih emang kenapa, ya gpp lah berharap lebih, org filmnya bagus gmn sih",youtube,dih emang ya gpp harap org film bagus gmn sih,positif
" @dwiagusstwn  joko anwar aja gak berspekulasi soal jumlah penonton, lah ini penontonnya yg ngeributin soal itu, kan aneh, yg namanya penikmat film ya tonton aja, ngapain ngurusin jumlah penonton, semua film dibuat karena ada pasarnya masing²",youtube,dwiagusstwn joko anwar aja gak spekulasi tonton tonton yg ngeributin aneh yg nama nikmat film ya tonton aja ngapain ngurusin tonton film pasar,netral
Quality over quantity,youtube,quality over quantity,netral
Yesss. Persetan dengan jumlah penonton,youtube,yesss persetan tonton,netral
tpi kayak kalampauin #catet,youtube,tpi kayak kalampauin catet,netral
Dukung terus film Indonesia 👍,youtube,dukung film indonesia,netral
Emang film apa  yg jumlah penontonnya banyak bgt? Kalo bole tau,youtube,emang film yg tonton bgt kalo bole tau,netral
" @penguinemperor1848  kkn desa penari, karena viral jadi banyak yg nonton",youtube,penguinemperor kkn desa tari viral yg nonton,netral
Bener bgt broo terbaik ini lah pastinya drpd yg yg joget2,youtube,bener bgt broo baik pasti drpd yg yg joget,netral
Bosen denger nya kkn desa pomari,youtube,bosen denger nya kkn desa pomari,netral
 @muhammadbakalharkat3158  hhe asli brooo,youtube,muhammadbakalharkat hhe asli brooo,netral
betuull,youtube,betuull,netral
Sebut saja KKN the dancer village,youtube,kkn the dancer village,netral
"coba yang komen2 ini rumahnya dekat sama desa penari beneran, gak akan gini paling yah komennya, sama juga lagu kalau gak viral dan laku keras yah gak kan di nikmati",youtube,coba komen rumah desa tari beneran gak gin yah komennya lagu gak viral laku keras yah gak nikmat,netral
ya euphoria tuh g bisa jadi nilai buat karya.,youtube,ya euphoria tuh g nilai karya,netral
Terbaikk,youtube,terbaikk,netral
🔥🔥🔥🔥🔥🔥,youtube,,netral
Film mana emang?,youtube,film emang,netral
 @thessaulum3833  KKN di Desa Dancer sepertinya,youtube,thessaulum kkn desa dancer,netral
"Gak tau kenapa, tapi punya feeling Pengabdi Setan 2 bakal lebih jelek",youtube,gak tau feeling abdi setan jelek,negatif
Udah 1 jta penonton boss,youtube,udah jta tonton boss,netral
Bener,youtube,bener,netral
Yashh betul.. 💯,youtube,yashh,netral
Berisik lo,youtube,berisik lo,netral
Agak ambigu sih kalimat terakhirnya 😌,youtube,ambigu sih kalimat akhir,netral
"setuju banget bang, setiap karya pasti selalu ada sesuatu yang ingin disampaikan oleh penciptanya🙏🏻 jadi hargai setiap karya sebelum kita mampu untuk membuat sendiri✨",youtube,tuju banget bang karya cipta harga karya,netral
Udah nonton. Medioker filmnya!,youtube,udah nonton medioker film,netral
Film ADZAB PENARI HANGAN DISAMAKAN MA INI BRO BEDA KELAS WKWK,youtube,film adzab tari hang sama ma bro beda kelas wkwk,netral
"kayanya kalo ada versi extended, ""Pengabdi Setan 2: Communion UNCUT"" bakal menyamai jumlah penonton kali ya 👄",youtube,kaya kalo versi extended abdi setan communion uncut sama tonton kali ya,netral
Ada perbedaan film yg hype doang dan hype tp berkualitas,youtube,beda film yg hype doang hype tp kualitas,netral
yang banyak bacot kan fans PS sendiri😂 takut banget tersaingi. padahal kalau yakin sama kualitas nya gak perlu berisik ngejelek jelekin film lain😂,youtube,bacot fans ps takut banget saing kualitas nya gak berisik ngejelek jelekin film,negatif
"APA CUMA GW YG PALING BENCI SAMA FILM2 TENTANG SETAN DI INDO? 
KARENA SEMUA SAMA, SAMA2 MEMBOSANKAN. SEMUA KETEBAK. 
AKTING NYA JUGA PADA ALAY. CRINGE BERLEBIHAN. BAHASA BAKU. WKWKKWKK",youtube,gw yg benci film setan indo bosan tebak akting nya alay cringe bahasa baku wkwkkwkk,negatif
 @tian-ford3234  nggak antusias kok masih komen.,youtube,tianford nggak antusias komen,netral
" @tian-ford3234  iya, cuma ente yang gitu",youtube,tianford iya ente gitu,netral
" @tian-ford3234  IYA CUMAN LU, NONTON AJA SANA FILM HOLLYWOOD",youtube,tianford iya cuman lu nonton aja film hollywood,netral
KKN bisa sukses secara penonton krn Awi Suryadi humble orgnya.,youtube,kkn sukses tonton krn awi suryadi humble orgnya,netral
Balik2 jangan lupa pamitan dlu sama IBU 🤣,youtube,lupa pamit dlu,netral
"Taee lu bang..bisa aje, sampe rumah ga berani ke kamar mandi sendiri😅",youtube,taee lu bangbisa aje sampe rumah ga berani kamar mandi,netral
gw juga udah pesen presale ama temen kursi tengah bang.. tapinonton nyua habis maghrib.. ntar kalo kemaleman capek pas pulangnya wkwk,youtube,gw udah sen presale ama temen kursi bang tapinonton nyua habis maghrib ntar kalo maleman capek pas pulang wkwk,netral
Yg pengabdi setan 1. Gue nonton sendirian di jam malam. Pulang dr nonton ga berani ke kamar mandi. Apalagi shalat tahajud. Momen yg si Tara ambil wudu tp diliatin setan dan saat shalat jg diganggu masih terngiang,youtube,yg abdi setan gue nonton jam malam pulang dr nonton ga berani kamar mandi shalat tahajud momen yg si tara ambil wudu tp diliatin setan shalat jg ganggu ngiang,netral
Pesugihan=Mengabdi ke setan = endingnya tumbalnya nyawanya sendiri,youtube,pesugihanmengabdi setan endingnya tumbal nyawa,netral
pak ustadz suka ngeprank,youtube,ustadz suka ngeprank,positif
BANSATTTT😭😭😭🥲😆,youtube,bansatttt,netral
"Beh,, creepy kayaknya ni",youtube,beh creepy kayak ni,netral
scene paling.kacau nih keren .. buat yg udah nonton dari dulu versi tahun 80.an film ini emang parah serem,youtube,scene palingkacau nih keren yg udah nonton versi an film emang parah rem,positif
sumpah ngeri parah,youtube,sumpah ngeri parah,netral
Bangkeeeee kaget,youtube,bangkeeeee kaget,netral
Hening banget gak tuh atmosfer nya😰,youtube,hening banget gak tuh atmosfer nya,netral
Ngeriii. Merinding mbayangin beneran disitu!,youtube,ngeriii merinding mbayangin beneran situ,netral
Alangke ngerinyooooo,youtube,alangke ngerinyooooo,netral
Gw udh beli tiket pre sale nya...terniat emang...duuh ga sabaar🥲,youtube,gw udh beli tiket pre sale nyaterniat emangduuh ga sabaar,netral
"Bangke lahh, nonton cuplikan klipnya aja udh bikin merem"" gaberani lihat layar hp. Gimana pas nonton langsung ya 😂",youtube,bangke lahh nonton cuplik klip aja udh bikin merem gaberani lihat layar hp gimana pas nonton langsung ya,netral
Gilaaaa kagettty,youtube,gilaaaa kagettty,netral
Di tunggu hari kamis,youtube,tunggu kamis,netral
"engap banget napas pak ustadz, smoga engga kalah lagi sama poci",youtube,engap banget napas ustadz smoga engga kalah poci,netral
"Kalo Hollywood punya Stephen king yg selalu berhasil bikin penonton dag-dig-dug setiap kali nonton film garapan nya, Indonesia punya Joko Anwar yg selalu sukses bikin penonton gelisah sepanjang nonton film garapan nya.. excited bgttt untuk sekuel dri pengabdi setan iniiii",youtube,kalo hollywood stephen king yg hasil bikin tonton dagdigdug kali nonton film garap nya indonesia joko anwar yg sukses bikin tonton gelisah nonton film garap nya excited bgttt sekuel dri abdi setan iniiii,netral
kena jumpscare gila.. wkwkwk,youtube,kena jumpscare gila wkwkwk,netral
"Anjimm lah, itu maksudnya apa ya kok mayat dibiarin",youtube,anjimm maksud ya mayat dibiarin,netral
Wajib nonton,youtube,wajib nonton,netral
ini maksudnya gmn sih? kok liat pocong kek biasa aja? ada yg bisa jelasin?,youtube,maksud gmn sih liat pocong kek aja yg jelasin,netral
Banget 😭 mana kalo nonton di bioskop ga bisa di pause 😭,youtube,banget kalo nonton bioskop ga pause,netral
"Stephen king hanya Novelnya atau apalah & gk ada filmnya, lebih layak disebut James Wan sih atau Sama Raimi",youtube,stephen king novel apa gk film layak james wan sih raimi,netral
 @rakhaadipramana1919  iya maksud ku karya nya Stephen king,youtube,rakhaadipramana iya maksud ku karya nya stephen king,netral
"Stephen King,james wan ga pernah gagal",youtube,stephen kingjames wan ga gagal,negatif
"Iya benerrr.rata2 film nya James wan punya banyak sekuel dan laris manis..saw,belom lagi Insidious",youtube,iya benerrrrata film nya james wan sekuel laris manissawbelom insidious,netral
Stephen King bukan sutradara,youtube,stephen king sutradara,netral
Stephen king 🤭 kapan die ngegarap…,youtube,stephen king die ngegarap,netral
Itu jenazah kan kata pa ustad dibilang mayat korban suami istri ga tau kalau si tomi disirep sama pa ustadz.. Ga tau pa ustad y pergi kemana.. Apa dia jelmaan atau pergi sebentar... Nonton aja bsk mbak,youtube,jenazah pa ustad bilang mayat korban suami istri ga tau si tom sirep pa ustadz ga tau pa ustad y pergi mana jelma pergi sebentar nonton aja bsk mbak,netral
 @almutamar3408  ko ga dikubur ..malah di geletakin aja....toninya jg biasa aja lagi,youtube,almutamar ko ga kubur geletakin ajatoninya jg aja,netral
"Ustadnya Mau kabur ke Singapura, tapi ditolak 😂😂😂",youtube,ustad kabur singapura tolak,netral
Gak sabar nonton,youtube,gak sabar nonton,netral
"gua gak paham maksudnya ,ini macam kamar mayat tapi versi rumah susun...harusnya next conjuring pakai joko anwar",youtube,gua gak paham maksud kamar mayat versi rumah susunharusnya next conjuring pakai joko anwar,netral
AAAA KELIATAN SERUU,youtube,aaaa liat seruu,netral
Ini apaan sih anjirrrr......ngeri bettt,youtube,sih anjirrrrngeri bettt,netral
"wahhh gila sih, pengen nnton di imax tapi jam nya ga  bersahabat banget 🥱",youtube,wahhh gila sih ken nnton imax jam nya ga sahabat banget,netral
AGHHH GASABARR,youtube,aghhh gasabarr,netral
"Pengen nonton tapi takut, takut tapi pengen nonton.",youtube,ken nonton takut takut ken nonton,netral
Sumpahhhh seremmm bnget woiii😭😭,youtube,sumpahhhh seremmm bnget woiii,netral
Wanjayyyy,youtube,wanjayyyy,netral
Hmmm ini tentang apa yak,youtube,hmmm yak,netral
Anjirrrr kudu banget nonton !!!!!🔥🔥🔥,youtube,anjirrrr kudu banget nonton,netral
"Gilak siiihh akting Tara basro luar biasa !!! Cuma teriak ""BANGUUNNN !!!"". Udah kerasa banget atmosfer horror nya.",youtube,gilak siiihh akting tara basro teriak banguunnn udah rasa banget atmosfer horror nya,netral
Pak ustadz ngeprank😁😁,youtube,ustadz ngeprank,netral
Ampun dah mna full speaker 🥴 tegaket kagett,youtube,ampun dah mna full speaker tegaket kagett,netral
Lah malah ditinggal,youtube,tinggal,netral
"Semoga penontonnya melebihi KKN di Desa Penari, Aamiin 🤲🏻",youtube,moga tonton lebih kkn desa tari aamiin,netral
Yang di tunggu2 nih,youtube,tunggu nih,netral
gw udh gk sabarrrr,youtube,gw udh gk sabarrrr,netral
Siap2 senam jantung aja udh di bioskop pokoknya 🗿🗿,youtube,senam jantung aja udh bioskop pokok,netral
"Baru ngeh, selama ini kirain teriak ""bgsttt"" 😂",youtube,ngeh kirain teriak bgsttt,netral
" @difafathan5035  Sama selama ini gw juga ngiranya tara basro blg ""BGSTTT"" krna di channel lain juga blg nya gitu bkn ""BANGUNNN"" 🤣🤣🤣",youtube,difafathan gw ngiranya tara basro blg bgsttt krna channel blg nya gitu bkn bangunnn,netral
 @difafathan5035  si anj WKWKW,youtube,difafathan si anj wkwkw,netral
 @difafathan5035  njiirr ngakak,youtube,difafathan njiirr ngakak,netral
"Selera sih ya klo gw drdl msh ngerasa kureng sih sama akting Tara,kurang greget gt...
Setipe ama chelsea islan,kadang dpt kadang flat gt feelnya..",youtube,selera sih ya klo gw drdl msh ngerasa reng sih akting tarakurang greget gt tipe ama chelsea islankadang dpt kadang flat gt feelnya,netral
" @wahjoeanggono5080  dia klo akting drama emng agak kureng sih, tpi klo akting film2 horor akting ny luar biasa",youtube,wahjoeanggono klo akting drama emng reng sih tpi klo akting film horor akting ny,netral
sy mlh ngira teriak BONGEEE,youtube,sy mlh ngira teriak bongeee,netral
Gua dengernya 'BANGSAAT' 🤣,youtube,gua dengernya bangsaat,netral
"Bukannya manggil ""BAPAAAKK!!!"" 🤔",youtube,manggil bapaaakk,netral
" @putriportrait  jauh dr kata ""bapak"" bro 😅",youtube,putriportrait dr bro,netral
Mungkin Joko Anwar trauma dengan kata Bangsat takut kena teguran KPI lagi waktu promo Gundala di Obsesi,youtube,joko anwar trauma bangsat takut kena tegur kpi promo gundala obsesi,netral
 @gaffaridfamily1794  itu teriak Bapak,youtube,gaffaridfamily teriak,netral
Kaya nya dia kejebak dlm mimpi yg berulang2 dah,youtube,kaya nya jebak dlm mimpi yg ulang dah,netral
Itu teriak Bapak!!! Gitu kalo ga salah latarnya di kelas perkuliahan,youtube,teriak gitu kalo ga salah latar kelas kuliah,netral
Kirain teriak BANGJOK.......!!!!!,youtube,kirain teriak bangjok,netral
"Shuttt jgn kenceng2, kalo buzzernya marah gmna ?",youtube,shuttt jgn kenceng kalo buzzernya marah gmna,netral
"Ngapain Jumlah penonton banyak bro klau kualitasnya gk sebagus itu, ingat Film Sekuel biasanya banyak kurangnya atau banyak yg dipaksakan jadi mending doa deh supaya kualitas filmnya sesuai harapan atau filmnya mendapat respon positif dari berbagai penonton, itu yg benar. iya gw tau klo film"" Joko Anwar bagus tapi kan pasti jg ada turunnya contohnya kayak film Gundala.",youtube,ngapain tonton bro klau kualitas gk bagus film sekuel kurang yg paksa mending doa deh kualitas film sesuai harap film respon positif tonton yg iya gw tau klo film joko anwar bagus jg turun contoh kayak film gundala,positif
"Opini saya, kkn mencakup kalangan penikmat film menengah dari segi taste, atau bahkan kebawah, pun mungkin ada sebagian penikmat film dengan taste yg lebih baik tetapi hanya beberapa. sementara pengabdi setan adalah penikmat film dengan taste lebih baik dari film kkn. 
Yang menyebabkan kkn mungkin sulit tertandingi adalah jumlah penonton yg memiliki taste lebih baik, masih kalah dengan jumlah penikmat film yg memiliki taste menengah atau kebawah. 
Sorry, it just opinion ✌🏻",youtube,opini kkn cakup kalang nikmat film tengah segi taste bawah nikmat film taste yg abdi setan nikmat film taste film kkn sebab kkn sulit tanding tonton yg milik taste kalah nikmat film yg milik taste tengah bawah sorry it just opinion,netral
KKN banyak yg nonton karna dibioskop tayangan nya hampir 2bulan dengan penonton segitu,youtube,kkn yg nonton karna bioskop tayang nya tonton segitu,netral
Lebih dari PS1 amin. Banyak variabel kalo tertinggi,youtube,ps amin variabel kalo tinggi,netral
Kenapa yaa kok pada kesel yaa sama kkn??,youtube,yaa kesel yaa kkn,netral
" @duniagame7785  it's flat, tapi karena hyped jadi penontonnya banyak",youtube,duniagame its flat hyped tonton,netral
" @duniagame7785  makanya, padahal filmnya ga jelek dan kalo dibilang bagus juga ya ga bagus2 amat. Standar aja sih, tapi kubu sini kek terlalu merendahkan gitu seolah seleranya paling mantep.",youtube,duniagame film ga jelek kalo bilang bagus ya ga bagus standar aja sih kubu kek rendah gitu selera mantep,positif
Prediksi gw gak mungkin,youtube,prediksi gw gak,netral
KKN itu Overated + Overhype + Gimmick = Laris Manis 😂,youtube,kkn overated overhype gimmick laris manis,netral
"Udh  bang ga udh banding2 sama yg itu..yg penting bisa nntn dan enjoy, kkn kemaren saya ga nonton ga tau kenapa saya pribadi ga tertarik, tpi klo ini, udh dpt tiket dong buat tgl 4😅",youtube,udh bang ga udh banding yg ituyg nntn enjoy kkn kemaren ga nonton ga tau pribadi ga tarik tpi klo udh dpt tiket tgl,netral
"Ga melebihi gpp, tp gw prefer PS 2 haha gokil ini sih vibes horrornya kuuadd banget parah 🔥",youtube,ga lebih gpp tp gw prefer ps haha gokil sih vibes horrornya kuuadd banget parah,netral
Setuju.. Aminnnn,youtube,tuju aminnnn,netral
Aminnnn,youtube,aminnnn,netral
As it should 🤘🏻,youtube,as it should,netral
"amiiiinnnn!!! 

amin paling kenceng ini mah.",youtube,amiiiinnnn amin kenceng mah,netral
Jangan sampe,youtube,sampe,netral
Susahh ...KKN itu perfect storm banget dan susah buat diilampaui jumlah penontonnya,youtube,susahh kkn perfect storm banget susah diilampaui tonton,netral
ooooh film yg laris tapi ternyata jelek banget itu?,youtube,ooooh film yg laris jelek banget,negatif
Aaamiiinn,youtube,aaamiiinn,netral
Aamiin,youtube,aamiin,netral
Amiin,youtube,amiin,netral
semoga..,youtube,moga,netral
Up,youtube,up,netral
"Kek gini aja sih wkwk 

quality > quantity",youtube,kek gin aja sih wkwk quality quantity,netral
Aamiin,youtube,aamiin,netral
ops sorry,youtube,ops sorry,netral
Aminnn,youtube,aminnn,netral
Aamiin,youtube,aamiin,netral
"susah, karena selera orang indonesia soal film mayoritas sangat buruk. apalagi kalo ada embel-embel ""UNCUT"" 🤭",youtube,susah selera orang indonesia film mayoritas buruk kalo embelembel uncut,negatif
"Ah KKN mah ga ada serem2nya,,,alur ceritanya pun udah ketebak dari sosmed yg viral sebelum2nya...klo ini gua excited bngt,,,",youtube,ah kkn mah ga seremnyaalur cerita udah tebak sosmed yg viral sebelumnyaklo gua excited bngt,netral
Wkwk menghayal,youtube,wkwk menghayal,netral
KKN RAMAI KENA SCAMMM,youtube,kkn ramai kena scammm,netral
"Ah jangan mimpilah menyaingi film terlaris sepanjang masa...
...
...
...
...
...
Masa bodohh🤣🤣🤣",youtube,ah mimpi saing film laris bodohh,netral
 @sakaagari2740  SEPANJANG MASA? AOWKWKWK NGENTOT HALU AJG FILM AVATAR NOOH TERLARIS GREATEST FILM ALL THE TIME,youtube,sakaagari aowkwkwk ngentot halu ajg film avatar nooh laris greatest film all the time,netral
 @sakaagari2740  Doa aja dulu ya kan... Takdir mah gak ada siapa yang tahu hehehe,youtube,sakaagari doa aja ya takdir mah gak hehehe,netral
Eitss tidak mungkin dong wkwk,youtube,eitss wkwk,netral
"Harus, itu harus ga sih??",youtube,ga sih,netral
Ngimpiiiii,youtube,ngimpiiiii,netral
Anjirr serem,youtube,anjirr rem,netral
Asli mrinding cuyyy,youtube,asli mrinding cuyyy,netral
"Gini mah harus 10jutaan penonton, viralin bocil2 tiktid, tapi yg di incer b0cil2 tiktid gen z gen terakhir kan trailer e harus ada adegan hot nya 🤣🤣🤣🤣",youtube,gin mah juta tonton viralin bocil tiktid yg incer bcil tiktid gen z gen trailer e adegan hot nya,netral
Wah gila kacau iniiiiiii. TER WAJIB NONTON INI 4 AGUSTUS 🔥🔥🔥,youtube,gila kacau iniiiiiii ter wajib nonton agustus,netral
"Apartemen kok serem dan gelap gitu, kalo mau aman mending cari yang jelas aja jangan yang angker",youtube,apartemen rem gelap gitu kalo aman mending cari aja angker,netral
see u besokkkkk gak sabar buat nonton besok di IMAX,youtube,see u besokkkkk gak sabar nonton besok imax,netral
"Suara pak ustad mengingatkan sya akan seseorang di sana🤔,bru sekilas aja udah creepy banget😩",youtube,suara ustad sya sanabru kilas aja udah creepy banget,netral
mo booking ticket dulu,youtube,mo booking ticket,netral
Aduhhhh hampir aja HP ku tak buang gara² sugus tegletak begtu aja,youtube,aduhhhh aja hp ku buang gara sugus tegletak begtu aja,netral
tetap nyantai nutup jendela setelah ngelewatin pocong kok bisa sih?????????,youtube,nyantai nutup jendela ngelewatin pocong sih,netral
Joko Anwar emang bukan kaleng2... Berasa main game Silent Hill gw.. Beda jauh pokoknya sama yg nari2 itu.,youtube,joko anwar emang kaleng asa main game silent hill gw beda pokok yg nari,netral
Anjir atmosfernya bikin merinding😨😨,youtube,anjir atmosfer bikin merinding,netral
"Info dong ini harus nntn yg pertama dlu ga? Karna yg pertama blm nntn, takut ceritanya nyambung, thanks",youtube,info nntn yg dlu ga karna yg blm nntn takut cerita nyambung thanks,netral
Bakal lebih rame dari kkn nih,youtube,rame kkn nih,netral
"The real horror movie, realy can't wait",youtube,the real horror movie realy cant wait,netral
"gila gw merinding, mana nontonnya pake laptop, layarnya gede...wkwk",youtube,gila gw merinding nontonnya pake laptop layar gedewkwk,netral
Nonton lahhhh wlpn aku penakut tapi bareng suami 😂😂,youtube,nonton lahhhh wlpn takut bareng suami,netral
Kenapa nggak langsung dikubur sih itu mayatnya 🤧🤧,youtube,nggak langsung kubur sih mayat,netral
Gasabar pngen nonton,youtube,gasabar pngen nonton,netral
"Semoga ada meet and great di Cinepolis cikarang kaya Ivanna di hari pertama, aaaa pasti seru abis.",youtube,moga meet and great cepol cikarang kaya ivanna aaaa seru abis,netral
Kalo mau aman mending nonton dulu filmnya! Gatau tapi ngomel...,youtube,kalo aman mending nonton film gatau ngomel,netral
Rumah susun itu,youtube,rumah susun,netral
ini kondisi nya lagi mati lampu. Dan juga tonton dulu film nya elah! mereka ini terburu-buru pindah ke rumah susun karna kejadian di pengabdi setan 1,youtube,kondisi nya mati lampu tonton film nya elah terburuburu pindah rumah susun karna jadi abdi setan,netral
"ketemu ibu aja pas ditangga, dia bilang siapa lo 😂",youtube,ketemu aja pas tangga bilang lo,netral
karakter si toni mmg pemberani .,youtube,karakter si ton mmg berani,netral
Kan dia kira di temenin ustad,youtube,temenin ustad,netral
Buset bukanya di dukung perfilman Indonesia malah di nyinyir,youtube,buset buka dukung film indonesia nyinyir,netral
" @gilangrisangtetuko9707  heran ya bro, apa"" Dibandingin 🤣🤣",youtube,gilangrisangtetuko heran ya bro dibandingin,netral
Maksud Anda film yang CUMA mengandalkan kekuatan VIRAL itu ya? 🤭🤭🤭,youtube,maksud film andal kuat viral ya,netral
" @keithroyal5851  krn penasaran juga, tp ujung""nya 😂",youtube,keithroyal krn penasaran tp ujung,netral
" @keithroyal5851  ditambah gara2 gak dapet tiket dr strange.. Eh jd smua pda nonton ""yg katanya viral"" Itu.. Wkwkk",youtube,keithroyal tambah gara gak dapet tiket dr strange eh jd smua pda nonton yg viral wkwkk,netral
"Stop biner lah bro, gimana mau maju perfilman indonesia klo dibanding-bandingin",youtube,stop biner bro gimana maju film indonesia klo dibandingbandingin,netral
 @blue.pri1nt  ngomong sm syp lo??? Justru kalo tidak ada perbandingan mana tau kualitasnya.. Mreka harus siap trima kritik dan saran.. Lo aja ujian harus dinilai. Kalo gak dinilai mana tau lo pinter atau goblok.,youtube,blueprint ngomong sm syp lo kalo banding tau kualitas mreka trima kritik saran lo aja uji nilai kalo gak nilai tau lo pinter goblok,netral
"Iya sih bner, yg kmren 10 jeti pnonton itu ngandalin ke viral an, tp klo emang mnurut klian sejelek itu, brarti 10 juta orang itu gda yg nonton berkali kali kan, beda bgt sma pengabdi setan 1 atau prempuan tnah jhnnam mmpu bikin aq, dan bnyk orang lain berkali kali k bioskop nonton ulang krna emang bgus, nah tinggal kita tunggu aja, pengabdi setan 2 ini hrusnya sih bisa lbih dri 10 juta pnontonnya KKN, krna klian smua yakin bgt ini lbih bgus dri kkn kan? ,,, Jgan smpe nnti kkn ttep jadi pmenangnya,parah sih, brarti fix ,, 10 juta lbih orang indonesia pgen nonton adegan pnas nya bima dan ayu aja.krna ada embel2 UNCUT",youtube,iya sih bner yg kmren jet pnonton ngandalin viral an tp klo emang mnurut klian jelek brarti juta orang gda yg nonton kali kali beda bgt sma abdi setan prempuan tnah jhnnam mmpu bikin aq bnyk orang kali kali k bioskop nonton ulang krna emang bgus tinggal tunggu aja abdi setan hrusnya sih lbih dri juta pnontonnya kkn krna klian smua bgt lbih bgus dri kkn jgan smpe nnti kkn ttep pmenangnyaparah sih brarti fix juta lbih orang indonesia pgen nonton adegan pnas nya bima ayu ajakrna embel uncut,negatif
 @farizgaga0  yes bner bgt bro..,youtube,farizgaga yes bner bgt bro,netral
"Pleaselah, berhenti nyenggol sana sini, pada nape dah, g ngerugiin sape juga intinya juga sama-sama hiburan",youtube,pleaselah henti nyenggol nape dah g ngerugiin sape inti samasama hibur,netral
Nah bener tuh,youtube,bener tuh,netral
Menang Viral doank Dancer Penari  maah.. sama kayak MCU ... menang hype doank .. kualitas maaah biasa aja,youtube,menang viral doank dancer tari maah kayak mcu menang hype doank kualitas maaah aja,netral
"Harus sih, karena ini ceritanya yambung dr yang pertama.",youtube,sih cerita yambung dr,netral
"nonton ada di youtub,nanti pertanyaan di film 1 di jawab di film ke 2.",youtube,nonton youtubnanti film film,netral
Nonton di netflix atau disney... Nyambung kok kak,youtube,nonton netflix disney nyambung kak,netral
